,GLCM_Mean,GLCM_Mean,GLCM_Mean,GLCM_Contrast,GLCM_Contrast,GLCM_Contrast,GLCM_Homogeneity,GLCM_Homogeneity,GLCM_Homogeneity,GLCM_ASM,GLCM_ASM,GLCM_ASM,GLCM_Energy,GLCM_Energy,GLCM_Energy
,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean
Kelas,,,,,,,,,,,,,,,
hole,0.0,2.4607468,0.39983770325085,0.0,84.96562,7.374911953688001,11.788055,25.0,23.2595001325,54.71805,625.0,520.001513775,7.1768985,25.0,22.0886596825
lines,0.0,1.8438709,0.08961735664610264,0.0,37.508316,5.811095982216225,15.790985,25.0,24.34273645695364,106.8667,625.0,586.1414698675497,10.121168,25.0,23.964445165562914
normal,0.29289198,2.71855,1.3577934957727271,0.044708252,101.550415,20.647040457054544,10.367946,24.977646,19.249485118181816,44.282654,622.9025,250.14228114999997,6.6137466,24.956366,14.95281226
stain,0.49233675,2.6559024,1.9212226269047619,1.5448151,165.14978,10.746754095714286,13.462034,24.272858,21.193430609523812,78.55658,559.0393,352.2544775238095,8.740818,23.415947,17.98514319761905
